SPEC	Date	Time	Shift	M/C	Ins. Sort	Building No.	Barcode	Inspection Cnt.	Building	C/C drum	Building Prod.Date	Curing	Curing Date&Time	LOAD	Mold	RFV	"RFV(CCW)"	LFV	"LFV(CCW)"	CON	HAR	"HAR(CCW)"	R2H	R3H	R4H	R5H	R6H	R7H	R8H	R9H	R10H	R11H	R12H	R13H	R14H	R15H	R16H	L1H	Ply	RRO	RROC1H	RRO BLG	RRO DENT	LROT	LROB	DENT	DENTB	BLGT	BLGB	RFV ANG	R1H ANG	RRO1H	RRO2H	RRO BLG ANG	RRO DENT ANG	RRO_XTH	OE/RE	Grade	PLST	UF_GR_RFV	UF_GR_LFV	UF_GR_CON	UF_NGR_CON	UF_GR_RFV_1TH_HRM	UF_GR_RFV_2TH_HRM	UF_GR_RFV_8TH_HRM	UF_GR_TOP_DENT	UF_GR_DENT	UF_GR_TOP_BLG	UF_GR_BLG	UF_GR_RRO	UF_GR_TOP_LRO	UF_GR_LRO	DRR	Rework Date&Time	Rework M/C	LFD	RRT_LFD	RRT_LFV_1TH_HRM	RRT_RFV_2TH_HRM	RRT_LFV_2TH_HRM	TOP_RRO_1TH_HRM	BTM_RRO_1TH_HRM	TOP_LRO_1TH_HRM	BTM_LRO_1TH_HRM	LFV_ANGL	RRT_RFV_ANGL	RRT_LFV_ANGL	CNTR_RRO_ANGL	TOP_LRO_ANGL	BTM_LRO_ANGL	TOP_BLG_ANGL	BTM_BLG_ANGL	TOP_DENT_ANGL	BTM_DENT_ANGL	RFV_2TH_HRM_ANGL	RFV_3TH_HRM_ANGL	RFV_4TH_HRM_ANGL	RFV_5TH_HRM_ANGL	RFV_6TH_HRM_ANGL	RFV_7TH_HRM_ANGL	RFV_8TH_HRM_ANGL	LFV_1TH_HRM_ANGL	LFV_2TH_HRM_ANGL	LFV_3TH_HRM_ANGL	LFV_4TH_HRM_ANGL	LFV_5TH_HRM_ANGL	LFV_6TH_HRM_ANGL	LFV_7TH_HRM_ANGL	LFV_8TH_HRM_ANGL	RRT_RFV_1TH_HRM_ANGL	RRT_LFV_1TH_HRM_ANGL	RRT_RFV_2TH_HRM_ANGL	RRT_LFV_2TH_HRM_ANGL	CNTR_RRO_1TH_HRM_ANGL	TOP_LRO_1TH_HRM_ANGL	BTM_LRO_1TH_HRM_ANGL	extra1	extra2	extra3
KT245/55R19V          04H452 LBAFHK	2021-11-30	12:35:53	1	I1108	First Ins.	301103A012	7981601125	1	H1103		2021-11-30 06:21:53	K1B08	2021-11-30 10:31:47	0	19F04	10.49	8.55	1.45	1.89	-2.70	8.62	7.80	1.57	0.74	0.55	0.22	0.84	0.05	0.64	0.13	0.18	0.14	0.35	0.04	0.11	0.06	0.13	0.71	28.82	0.41	0.27	0.00	0.00	0.48	0.32	0.16	0.22	0.17	0.22	148.00	172.39	0.00	0.00	0.00	0.00	0.00	OE	7	28.82	12.75	8.1	5.4	-5.4	8.1	6.3	6.3	0.9	0.9	0.6	0.6	1.2	1.2	1.2	0.00			26.19	31.52	0.56	1.25	0.98	0.00	0.00	0.21	0.03	32.00	153.00	263.00	0.00	0.00	0.00	241.17	125.51	235.90	126.56	114.29	8.78	41.06	12.69	36.59	40.27	11.15	7.02	34.23	25.26	87.52	27.30	33.41	29.63	40.76	186.21	164.62	111.50	85.57	0.00	96.74	285.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00				
KT245/55R19V          04H452 LBAFHK	2021-11-30	12:35:24	1	I1108	First Ins.	291103C330	7981601086	1	H1103		2021-11-30 01:49:15	K1B06	2021-11-30 09:36:30	0	14437	8.74	7.73	2.67	3.76	-2.84	6.72	5.84	2.75	1.03	1.06	0.38	0.78	0.28	0.29	0.14	0.25	0.16	0.29	0.09	0.08	0.08	0.06	1.67	31.40	0.46	0.28	0.00	0.00	0.59	0.48	0.27	0.29	0.23	0.16	235.00	195.96	0.00	0.00	0.00	0.00	0.00	OE	1	31.4	12.75	8.1	5.4	-5.4	8.1	6.3	6.3	0.9	0.9	0.6	0.6	1.2	1.2	1.2	0.00			28.63	34.24	1.93	2.84	1.72	0.00	0.00	0.43	0.23	178.00	215.00	120.00	0.00	0.00	0.00	120.23	333.98	239.41	238.71	46.78	103.94	50.38	57.32	13.14	29.60	5.77	165.18	115.50	43.11	28.23	26.42	15.84	17.19	6.17	210.20	173.25	52.11	109.22	0.00	155.79	318.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00				
KT245/55R19V          04H452 LBAFHK	2021-11-30	12:35:00	1	I1108	First Ins.	291103C323	7981601079	1	H1103		2021-11-30 01:40:32	K1D03	2021-11-30 09:35:56	0	18T27	10.06	9.30	2.85	4.56	-2.57	6.75	5.92	3.99	1.40	0.13	0.41	0.97	0.15	0.41	0.20	0.08	0.19	0.08	0.18	0.19	0.04	0.08	1.80	30.88	0.54	0.33	0.00	0.00	0.59	0.46	0.37	0.39	0.36	0.20	221.00	226.94	0.00	0.00	0.00	0.00	0.00	OE	1	30.88	12.75	8.1	5.4	-5.4	8.1	6.3	6.3	0.9	0.9	0.6	0.6	1.2	1.2	1.2	0.00			28.30	33.46	4.00	3.90	0.68	0.00	0.00	0.25	0.14	181.00	235.00	162.00	0.00	0.00	0.00	58.36	65.39	248.20	247.50	26.85	115.93	46.54	26.34	41.39	28.32	19.46	180.55	167.18	60.67	12.15	28.55	0.27	19.42	7.89	240.33	175.32	34.21	153.33	0.00	258.35	101.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00				
KT245/55R19V          04H452 LBAFHK	2021-11-30	12:13:04	1	I1108	First Ins.	291103C014	7981600756	1	H1103		2021-11-29 19:03:19	K1B08	2021-11-30 00:11:56	0	14438	6.57	6.29	1.74	3.19	-2.33	5.22	4.84	1.70	0.51	0.08	0.44	1.00	0.24	0.55	0.43	0.06	0.13	0.23	0.15	0.07	0.03	0.08	0.93	31.30	0.39	0.26	0.00	0.00	0.58	0.67	0.23	0.26	0.39	0.06	223.00	225.76	0.00	0.00	0.00	0.00	0.00	OE	1	31.3	12.75	8.1	5.4	-5.4	8.1	6.3	6.3	0.9	0.9	0.6	0.6	1.2	1.2	1.2	0.00			29.02	33.63	2.21	1.34	0.77	0.00	0.00	0.22	0.34	170.00	294.00	182.00	0.00	0.00	0.00	278.79	330.47	55.90	55.55	150.69	92.81	2.28	61.83	46.36	21.59	15.97	125.34	58.32	25.46	6.80	21.27	30.01	15.35	4.04	247.04	183.87	152.57	99.57	0.00	350.93	202.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00				
KT245/55R19V          04H452 LBAFHK	2021-11-30	12:12:36	1	I1108	First Ins.	291103C043	7981600786	1	H1103		2021-11-29 19:50:22	K1B06	2021-11-30 00:19:42	0	14437	5.10	5.34	3.56	1.71	-3.15	3.89	3.40	0.58	1.18	0.56	0.75	0.40	0.34	0.52	0.18	0.28	0.25	0.26	0.07	0.15	0.11	0.03	2.50	30.33	0.26	0.17	0.00	0.00	0.72	0.57	0.22	0.21	0.27	0.11	148.00	182.67	0.00	0.00	0.00	0.00	0.00	OE	1	30.33	12.75	8.1	5.4	-5.4	8.1	6.3	6.3	0.9	0.9	0.6	0.6	1.2	1.2	1.2	0.00			27.16	33.48	0.71	0.42	0.67	0.00	0.00	0.39	0.29	305.00	241.00	311.00	0.00	0.00	0.00	308.32	315.00	54.14	233.09	147.16	4.86	29.67	2.89	54.17	33.87	12.84	311.96	101.78	56.45	37.13	25.92	59.14	10.24	1.34	199.00	289.52	131.84	130.50	0.00	289.96	74.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00				
KT245/55R19V          04H452 LBAFHK	2021-11-30	12:12:08	1	I1108	First Ins.	291103C328	7981601084	1	H1103		2021-11-30 01:47:34	K1B10	2021-11-30 09:33:42	0	17C07	5.31	4.51	2.44	3.52	-2.40	1.82	1.86	2.27	1.26	0.92	0.82	0.84	0.43	0.26	0.12	0.13	0.13	0.10	0.21	0.11	0.06	0.13	1.73	31.11	0.49	0.20	0.00	0.00	0.39	0.46	0.33	0.27	0.39	0.11	235.00	261.69	0.00	0.00	0.00	0.00	0.00	OE	1	31.11	12.75	8.1	5.4	-5.4	8.1	6.3	6.3	0.9	0.9	0.6	0.6	1.2	1.2	1.2	0.00			28.79	33.51	2.33	1.91	0.71	0.00	0.00	0.15	0.26	178.00	241.00	187.00	0.00	0.00	0.00	239.77	339.61	239.41	245.04	57.55	7.90	58.64	69.80	41.95	21.37	10.24	200.33	84.33	49.02	84.76	31.40	52.50	19.07	42.84	314.34	191.50	65.43	92.30	0.00	73.20	123.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00				
KT245/55R19V          04H452 LBAFHK	2021-11-30	12:11:42	1	I1108	First Ins.	291103C085	7981600830	1	H1103		2021-11-29 20:36:19	K1B10	2021-11-30 00:31:33	0	17982	4.00	3.21	1.93	3.17	-2.39	0.99	0.76	1.52	1.23	0.98	0.09	0.71	0.33	0.29	0.18	0.10	0.13	0.27	0.19	0.13	0.07	0.04	0.53	29.65	0.31	0.03	0.00	0.00	0.47	0.43	0.36	0.28	0.40	0.08	136.00	90.19	0.00	0.00	0.00	0.00	0.00	OE	1	29.65	12.75	8.1	5.4	-5.4	8.1	6.3	6.3	0.9	0.9	0.6	0.6	1.2	1.2	1.2	0.00			27.43	32.04	2.19	1.46	1.30	0.00	0.00	0.16	0.04	170.00	122.00	184.00	0.00	0.00	0.00	179.30	333.28	179.65	238.71	116.48	4.46	47.57	65.28	46.76	31.01	9.72	126.80	164.34	4.50	88.43	23.51	37.38	14.45	33.16	142.45	171.56	129.56	170.79	0.00	20.26	329.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00				
KT245/55R19V          04H452 LBAFHK	2021-11-30	12:11:15	1	I1108	First Ins.	301103A009	7981601122	1	H1103		2021-11-30 06:16:24	K1B08	2021-11-30 09:27:46	0	14438	5.26	4.51	1.50	3.93	-0.37	2.70	2.47	2.43	0.98	0.67	0.59	0.57	0.18	0.09	0.15	0.25	0.21	0.08	0.19	0.09	0.04	0.14	0.14	29.41	0.27	0.12	0.00	0.00	0.33	0.37	0.25	0.34	0.23	0.11	223.00	243.20	0.00	0.00	0.00	0.00	0.00	OE	1	29.41	12.75	8.1	5.4	-5.4	8.1	6.3	6.3	0.9	0.9	0.6	0.6	1.2	1.2	1.2	0.00			29.03	29.78	3.68	1.97	0.75	0.00	0.00	0.11	0.22	114.00	246.00	182.00	0.00	0.00	0.00	182.11	336.09	69.26	249.61	23.04	0.05	42.76	13.92	20.69	45.77	32.54	118.61	101.38	55.04	21.48	37.49	7.67	19.87	9.29	280.87	191.04	23.78	109.70	0.00	165.30	94.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00				
KT245/55R19V          04H452 LBAFHK	2021-11-30	12:07:22	1	I1108	First Ins.	291103C077	7981600822	1	H1103		2021-11-29 20:29:39	K1D03	2021-11-30 01:17:53	0	19F03	5.82	5.75	1.89	2.51	-4.23	3.77	3.43	2.11	0.63	0.97	0.43	0.57	0.52	0.48	0.16	0.01	0.19	0.38	0.19	0.16	0.18	0.05	0.75	29.88	0.33	0.17	0.00	0.00	0.25	0.46	0.45	0.27	0.47	0.10	243.00	228.65	0.00	0.00	0.00	0.00	0.00	OE	1	29.88	12.75	8.1	5.4	-5.4	8.1	6.3	6.3	0.9	0.9	0.6	0.6	1.2	1.2	1.2	0.00			25.80	34.12	1.24	2.15	1.46	0.00	0.00	0.11	0.19	18.00	252.00	114.00	0.00	0.00	0.00	333.63	331.17	333.28	237.30	73.17	112.37	49.16	71.28	17.75	48.05	8.64	352.08	127.22	26.76	72.71	23.49	25.55	37.05	8.41	258.12	93.96	86.00	143.55	0.00	330.81	211.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00				
KT245/55R19V          04H452 LBAFHK	2021-11-30	12:06:55	1	I1108	First Ins.	291103C075	7981600820	1	H1103		2021-11-29 20:27:59	K1B10	2021-11-30 00:01:52	0	17C07	4.07	3.72	1.57	2.83	-1.92	3.13	2.64	0.89	0.57	0.55	0.42	0.13	0.19	0.15	0.41	0.21	0.12	0.33	0.14	0.02	0.03	0.10	0.77	29.59	0.25	0.10	0.00	0.00	0.32	0.36	0.42	0.23	0.50	0.09	238.00	276.62	0.00	0.00	0.00	0.00	0.00	OE	1	29.59	12.75	8.1	5.4	-5.4	8.1	6.3	6.3	0.9	0.9	0.6	0.6	1.2	1.2	1.2	0.00			27.70	31.51	2.23	0.59	0.70	0.00	0.00	0.12	0.16	1.00	308.00	249.00	0.00	0.00	0.00	127.97	33.75	129.02	300.23	15.12	29.17	82.98	16.44	43.64	46.38	33.64	337.19	178.41	114.74	60.07	12.15	3.07	36.48	15.75	297.11	231.01	7.73	64.87	0.00	226.94	353.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00				
